ID,RA,Dec,mstar,dmstar,SFR,dSFR,mHI,dmHI
HRS238,190.63597,-1.3505,9.095999717712402,0.11100000143051147,-2.01967,0.1142,9.24,0.06509999999999999
HRS83,180.91743,2.64153,8.538000106811523,0.10499999672174454,-1.43644,0.0206947,8.09,0.06509999999999999
HRS32,163.70265,17.62124,10.055000305175781,0.09600000083446503,-1.67574,0.0374578,7.92,0.06509999999999999
HRS305,208.90996,4.98475,9.489999771118164,0.0989999994635582,-1.25835,0.0337666,7.6,0.057866666465997696
HRS76,179.20699,53.16026,9.258999824523926,0.0989999994635582,-1.14957,0.0398,8.63,0.06509999999999999
HRS6,156.75516,28.63954,9.149999618530273,0.10400000214576721,-1.13412,0.0258735,8.89,0.04194409027695656
HRS315,216.33745,39.53952,9.493000030517578,0.0989999994635582,-0.576061,0.0146287,9.3,0.06509999999999999
HRS12,158.92531,26.12604,9.055999755859375,0.10300000011920929,-0.967896,0.0220846,8.23,0.021067960187792778
HRS255,191.94394,4.33606,9.58899974822998,0.11100000143051147,-0.471081,0.0123042,9.33,9.459459106437862E-4
HRS264,192.6628,1.46409,9.550999641418457,0.0989999994635582,-1.23578,0.041152,8.4,0.0625961571931839
HRS3,155.86234,19.89896,10.604999542236328,0.09600000083446503,-1.04487,0.0461,8.65,0.06509999999999999
HRS14,159.23361,21.88223,10.588000297546387,0.09600000083446503,-0.76778,0.0339167,7.79,0.06880487501621246
HRS198,188.46323,30.2776,9.329000473022461,0.09700000286102295,-1.08678,0.018511,8.82,0.06194216012954712
HRS290,197.88025,36.28194,8.729000091552734,0.09700000286102295,-1.01151,0.0107113,8.58,0.050246018916368484
HRS302,208.54709,5.22666,9.425000190734863,0.0989999994635582,-0.94289,0.021679,9.24,0.004033457022160292
HRS253,191.82294,-2.72749,10.069999694824219,0.0949999988079071,-0.433918,0.0128239,8.22,0.06509999999999999
HRS21,162.81598,27.8486,9.444999694824219,0.0989999994635582,-1.1691,0.0936255,8.28,0.020568719133734703
HRS309,211.85431,55.1031,9.342000007629395,0.0989999994635582,-0.559605,0.0125851,9.08,0.06509999999999999
HRS278,193.6841,13.23728,9.6899995803833,0.09399999678134918,-1.04421,0.0448409,7.65,0.07114753872156143
HRS26,163.16003,34.48319,9.378000259399414,0.10000000149011612,-0.928272,0.0278336,8.56,0.06509999999999999
HRS67,176.06197,55.03507,9.562999725341797,0.10100000351667404,-0.527676,0.0171521,8.96,0.06509999999999999
HRS93,183.77116,33.19746,10.597000122070312,0.09600000083446503,-0.883965,0.029833,9.44,0.06509999999999999
HRS38,166.73662,7.17426,9.446999549865723,0.09799999743700027,-0.864567,0.0374,9.0,0.006372980773448944
HRS227,189.82777,-0.53174,9.439000129699707,0.09399999678134918,-0.409668,0.0187179,9.95,0.024328695610165596
HRS317,217.50777,3.77287,9.579000473022461,0.10000000149011612,-0.628353,0.0224325,8.82,0.047594793140888214
HRS41,168.61362,17.25989,9.35099983215332,0.0989999994635582,-0.942917,0.0309961,8.54,0.05501408502459526
HRS133,186.0468,31.52176,9.52400016784668,0.09700000286102295,-0.624191,0.0137182,9.23,0.06509999999999999
HRS82,180.89981,16.05525,9.04699993133545,0.10000000149011612,-0.781498,0.0140586,8.07,0.030780142173171043
HRS61,174.11038,58.19084,9.532999992370605,0.0989999994635582,-0.323162,0.0173486,9.01,0.04651739448308945
HRS79,180.29333,14.10464,9.28499984741211,0.10000000149011612,-0.315697,0.0130246,9.12,0.005197604652494192
HRS277,193.68306,8.05303,9.868000030517578,0.10100000351667404,-0.804066,0.0389119,7.77,0.07614035159349442
HRS39,166.76413,12.06017,9.550999641418457,0.09799999743700027,-0.724342,0.0239568,9.13,0.005643692798912525
HRS52,170.98158,52.92099,9.743000030517578,0.09600000083446503,-0.639885,0.0138827,9.35,0.04233488813042641
HRS44,169.5721,18.84702,9.138999938964844,0.10100000351667404,-0.309132,0.0122169,8.37,0.06509999999999999
HRS279,193.8028,0.11665,9.519000053405762,0.09799999743700027,-0.488834,0.016288,9.21,0.01874990016222
HRS58,172.03922,16.92018,9.60099983215332,0.10000000149011612,-0.492649,0.0137293,8.29,0.06509999999999999
HRS300,207.64951,42.54132,10.095000267028809,0.09600000083446503,-0.731155,0.0211021,8.39,0.06509999999999999
HRS64,175.02838,58.61306,9.760000228881836,0.09700000286102295,-0.630703,0.0230191,8.76,0.05300417169928551
HRS286,194.86298,14.17133,11.098999977111816,0.09600000083446503,-0.540215,0.0401313,9.3,0.032107140868902206
HRS65,175.22354,56.20198,9.506999969482422,0.0989999994635582,-0.370083,0.0277475,9.27,0.01835526153445244
HRS318,217.66402,7.275,9.64900016784668,0.09799999743700027,-0.354607,0.0102792,9.29,0.003328220918774605
HRS261,192.45911,2.85255,9.92199993133545,0.09700000286102295,-0.766186,0.0295132,8.73,0.06509999999999999
HRS70,178.13051,-3.87223,9.255999565124512,0.10000000149011612,-0.2369,0.0128201,8.92,0.06509999999999999
HRS29,163.62289,17.34362,9.378000259399414,0.09700000286102295,-0.601421,0.0184646,8.54,0.05846944823861122
HRS212,189.03418,19.32274,9.654000282287598,0.10000000149011612,-0.116703,0.0216532,9.4,0.043996285647153854
HRS252,191.38335,-0.53584,9.79800033569336,0.09600000083446503,-0.218067,0.0129109,9.18,0.04464191570878029
HRS80,180.34874,13.40097,9.996000289916992,0.10000000149011612,-0.433674,0.0188787,8.53,0.009538461454212666
HRS78,180.13676,20.07384,9.74899959564209,0.0989999994635582,-0.247131,0.0130002,9.23,0.06509999999999999
HRS281,193.84758,7.90998,9.817999839782715,0.0989999994635582,-0.346474,0.0299023,8.13,0.016439393162727356
HRS306,209.03012,5.2549,11.142000198364258,0.09600000083446503,-0.382828,0.0360788,8.06,0.08188678324222565
HRS68,176.6082,34.85257,9.081999778747559,0.10000000149011612,-0.453999,0.0148358,8.01,0.058125004172325134
HRS11,158.6969,21.64828,9.64799976348877,0.09700000286102295,-0.455086,0.0116718,8.79,0.050931334495544434
HRS18,162.05087,28.6019,10.095000267028809,0.10000000149011612,-0.373608,0.0187117,8.54,0.048729825764894485
HRS9,158.23097,28.5119,10.607000350952148,0.09600000083446503,-0.399822,0.0188127,8.65,0.05817446857690811
HRS54,171.62404,16.86355,10.255999565124512,0.09600000083446503,-0.308475,0.0158835,9.41,0.06509999999999999
HRS271,193.1835,15.84875,9.769000053405762,0.09700000286102295,-0.436447,0.0147603,8.95,0.006129942834377289
HRS319,218.18324,9.89175,9.694999694824219,0.0989999994635582,-0.116596,0.011682,9.53,0.0013664987636730075
HRS2,155.23804,25.36483,9.204999923706055,0.09600000083446503,-0.438282,0.0100969,8.42,0.020568719133734703
HRS322,219.7961,5.36358,10.878999710083008,0.09600000083446503,-0.31451,0.026231,9.85,0.001531944959424436
HRS259,192.2982,3.38875,9.42300033569336,0.09799999743700027,-0.49757,0.0175,9.58,0.06509999999999999
HRS10,158.62424,35.25679,9.531000137329102,0.09700000286102295,-0.504269,0.0324,8.76,0.06509999999999999
HRS72,178.41953,-3.9965,9.317000389099121,0.09799999743700027,0.109612,0.0126887,9.23,0.06509999999999999
HRS314,215.86346,1.72621,9.60099983215332,0.09799999743700027,-0.0179367,0.0108724,9.27,0.04397973418235779
HRS40,167.48293,10.7208,9.557999610900879,0.0989999994635582,-0.194042,0.0108441,9.02,0.01272727269679308
HRS69,177.31374,56.08453,10.732000350952148,0.0949999988079071,-0.337662,0.021716,9.49,0.06509999999999999
HRS243,190.83383,1.97824,11.154999732971191,0.09600000083446503,-0.332577,0.0379924,8.06,0.06509999999999999
HRS46,170.01596,18.35677,10.515999794006348,0.0949999988079071,-0.280609,0.0156899,9.02,0.060548290610313416
HRS42,168.77594,14.78695,9.645999908447266,0.09600000083446503,-0.243092,0.0110459,9.39,0.0013044783845543861
HRS267,192.93999,25.77482,9.918000221252441,0.09700000286102295,-0.129795,0.010166,9.28,0.002297512022778392
HRS16,160.91234,14.87184,9.890999794006348,0.0989999994635582,-0.229366,0.0109596,9.14,0.003586776554584503
HRS299,207.06693,3.95092,10.041000366210938,0.09600000083446503,-0.180508,0.0118057,9.04,0.00458289310336113
HRS62,174.13913,36.41019,9.885000228881836,0.09700000286102295,0.102402,0.0138683,9.65,0.0232080090790987
HRS321,219.57552,3.41034,9.519000053405762,0.09600000083446503,-0.143303,0.0102696,8.66,0.06509999999999999
HRS47,170.13261,26.9635,9.994999885559082,0.10000000149011612,0.108215,0.0119031,9.32,0.003058491973206401
HRS274,193.37149,2.16845,10.956000328063965,0.0949999988079071,-0.237419,0.0275439,9.01,0.06509999999999999
HRS45,169.83987,57.75774,10.769000053405762,0.09600000083446503,-0.305031,0.0247169,8.89,0.04506685212254524
