ID,ra_WSRT[deg],dec_WSRT[deg],"off[""]",v_HI[km/s],dv[km/s],r[Mpc],Log(Mstar),dLog(Mstar),log(SFR),dlog(SFR),log(M_HI[Msol]),HI_morph,TailFlag,AGNFlag,NewDet
NGC4926A,195.53316,27.646589,6.240241531,6903.179743,4.0,1.05,10.117,0.1,0.6064,0.0129024,8.43728950088232,1,0,0,0
GMP4023,194.69066,28.692829,1.969074506,6824.958702,-27.0,1.28,8.856,0.645,-0.664463,0.0708828,8.172726920008783,0,0,0,1
2MASXJ13013085+2833237,195.37828,28.557607,3.322531305,6879.097241,-3.0,1.18,9.216,0.166,-0.691345,0.0880513,9.018361208872655,0,0,0,1
GMP2486,195.18743,28.528351,2.096766343,6887.877365,-1.0,1.0,7.839,1.274,-1.10923,0.175043,8.227774486339689,0,0,0,1
NGC4848,194.51997,28.246558,17.72567668,7105.539855,-106.0,0.8,8.923,0.269,0.271057,0.0243759,9.226490387074364,2,1,1,0
LEDA1795276,194.66033,27.013591,3.066292077,6975.004627,-42.0,1.71,9.272,0.232,-0.580811,0.162563,7.947736786121536,0,0,0,1
2MASXJ12563460+2713390,194.14233,27.22617,8.129481013,7225.600471,36.0,1.78,9.956,0.118,-0.455826,0.0896013,7.637948951428738,2,0,0,1
2MASSJ12581865+2718387,194.57804,27.308084,9.950333935,7411.302665,0.0,1.28,9.509,0.105,0.320301,0.0298557,9.013510964153483,1,0,0,0
Mrk56,194.64763,27.265276,2.432796507,7346.41096,-13.0,1.31,9.536,0.109,0.225922,0.0340216,8.560501418190114,1,0,0,1
IC3913,194.11873,27.290978,1.498501204,7524.878582,9.0,1.73,9.912,0.117,0.188114,0.0301834,9.248411949907295,2,1,0,0
AGC725242,194.62867,26.994719,1.007939118,7434.754577,-19.0,1.76,8.784,0.709,-0.69706,0.076376,8.435242145378686,0,0,0,1
7W1258+27W06,195.14303,27.638483,9.120711478,7492.985505,9.0,0.65,9.8,0.121,0.192825,0.0271544,8.336918955764757,1,1,0,0
MCG+05-31-041,194.53869,28.709356,2.96746168,7604.959181,0.0,1.39,10.178,0.1,0.341164,0.0256478,9.327422247524488,0,0,0,0
Mrk57,194.65444,27.173941,10.04343923,7662.967519,-2.0,1.45,9.688,0.104,0.467396,0.0202838,9.277804205669725,1,0,0,0
IC4040,195.15942,28.056537,4.900052424,7807.289669,-67.0,0.35,10.02,0.098,0.81427,0.0120615,8.581150247992516,1,1,0,0
